Nombre_Coolmod,Precio_Coolmod,Tienda,Fecha,Match,Nombre_Ref,Nombre_PcComp,Precio_PcComp
Microsoft Surface Pro 10 U5-135U 16GB 256GB 13 W11P Platino,1902.95,Coolmod,2026-04-17,"(""Microsoft Surface Pro 10 Intel Core Ultra 5 135U/16GB/256GB SSD/13'' Táctil Platino"", 93)",Microsoft Surface Pro 10 Intel Core Ultra 5 135U/16GB/256GB SSD/13'' Táctil Platino,Microsoft Surface Pro 10 Intel Core Ultra 5 135U/16GB/256GB SSD/13'' Táctil Platino,1679.44
Samsung Galaxy Book4 NP750XGJ-KG2ES i5-1335U 16GB 512GB 15.6 W11H,652.95,Coolmod,2026-04-17,"('Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""', 86)","Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""","Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""",609.0
HP 15-FD0011NS i7-1355U 16GB 1TB 15.6,713.95,Coolmod,2026-04-17,"('HP 15-fd0011ns Intel Core i7-1355U/16GB/1TB SSD/15.6""', 100)","HP 15-fd0011ns Intel Core i7-1355U/16GB/1TB SSD/15.6""","HP 15-fd0011ns Intel Core i7-1355U/16GB/1TB SSD/15.6""",718.99
Asus ZenBook 14 OLED UM3406KA-QD074W AMD Ryzen AI 7 350 16GB 512GB 14 W11H,992.95,Coolmod,2026-04-17,"('Asus Zenbook 14 OLED UM3406KA-QD074W 14″ AMD Ryzen AI 7 PRO 350 16GB 512GB OLED IA Negro Jade', 96)",Asus Zenbook 14 OLED UM3406KA-QD074W 14″ AMD Ryzen AI 7 PRO 350 16GB 512GB OLED IA Negro Jade,Asus Zenbook 14 OLED UM3406KA-QD074W 14″ AMD Ryzen AI 7 PRO 350 16GB 512GB OLED IA Negro Jade,984.87
Apple MacBook Air M4 16GB 256GB 15.3 macOS Azul Cielo,1266.95,Coolmod,2026-04-17,"('Apple MacBook Air 13"" Apple M5 16GB 1TB SSD GPU 10 núcleos macOS Azul Cielo', 85)","Apple MacBook Air 13"" Apple M5 16GB 1TB SSD GPU 10 núcleos macOS Azul Cielo","Apple MacBook Air 13"" Apple M5 16GB 1TB SSD GPU 10 núcleos macOS Azul Cielo",1449.0
Apple MacBook Air M4 16GB 256GB 15.3 macOS Blanco Estrella,1275.94,Coolmod,2026-04-17,"('Apple MacBook Air 13"" Apple M5 16GB 512GB SSD GPU 8 núcleos macOS Blanco Estrella', 86)","Apple MacBook Air 13"" Apple M5 16GB 512GB SSD GPU 8 núcleos macOS Blanco Estrella","Apple MacBook Air 13"" Apple M5 16GB 512GB SSD GPU 8 núcleos macOS Blanco Estrella",1159.0
"Samsung Galaxy Book4 i5-1335U 16GB 512GB 15,6 W11P",842.95,Coolmod,2026-04-17,"('Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""', 95)","Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""","Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6""",609.0
Asus VivoBook Go 15 E1504FA-BQ2446W R5-7520U 16GB 512GB 15.6 W11H,551.95,Coolmod,2026-04-17,"('ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""', 85)","ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""",429.0
Apple MacBook Pro M4 Max 48GB 1TB 16 macOS Plata,4192.95,Coolmod,2026-04-17,"('Apple MacBook Pro 14"" Apple M5 Pro 15 núcleos 24GB 1TB SSD GPU 16 núcleos macOS Plata', 86)","Apple MacBook Pro 14"" Apple M5 Pro 15 núcleos 24GB 1TB SSD GPU 16 núcleos macOS Plata","Apple MacBook Pro 14"" Apple M5 Pro 15 núcleos 24GB 1TB SSD GPU 16 núcleos macOS Plata",2499.0
Asus ZenBook S16 OLED UM5606WA-RK320W AMD Ryzen AI 9 HX 370 32GB 1TB 16 W11H,1736.96,Coolmod,2026-04-17,"('ASUS Zenbook S 16 OLED UM5606WA-RK053W AMD Ryzen AI 9 HX 370/32GB/1TB SSD/16""', 91)","ASUS Zenbook S 16 OLED UM5606WA-RK053W AMD Ryzen AI 9 HX 370/32GB/1TB SSD/16""","ASUS Zenbook S 16 OLED UM5606WA-RK053W AMD Ryzen AI 9 HX 370/32GB/1TB SSD/16""",1599.99
Asus Vivobook Go 15 E1504GA-NJ463W i3-N305 8GB 512GB 15.6 W11H,485.95,Coolmod,2026-04-17,"('Asus Vivobook Go E1504GA Intel Core i3-N305/8GB/512GB SSD/15.6"" (PT)', 89)","Asus Vivobook Go E1504GA Intel Core i3-N305/8GB/512GB SSD/15.6"" (PT)","Asus Vivobook Go E1504GA Intel Core i3-N305/8GB/512GB SSD/15.6"" (PT)",399.0
